(0.0, 0.16, 0.025) 0.014151737571958516 0.0004674390412680953 1.567814272931736
(0.0, 0.16, 0.05) 0.01660682652676615 0.0006604796765335164 1.5132132289862283
(0.0, 0.16, 0.07500000000000001) 0.019372937983785928 0.0004654963011221215 1.7130885602889685
(0.0, 0.16, 0.1) 0.01479148857149631 0.0003465183000403491 1.6737794170190605
(0.0, 0.16, 0.125) 0.04156727322816636 0.00019467845242014973 2.1712322447249033
(0.0, 0.16, 0.15000000000000002) 0.0213105115324311 0.0007539796760976719 1.9178668537046444
(0.0, 0.16, 0.17500000000000002) 0.03291605845234625 0.0003348111545577974 1.9890469895432714
(0.0, 0.16, 0.2) 0.03984177310671961 0.0009070567459839637 1.982580561543275
(0.0, 0.16, 0.225) 0.04544472893686223 0.0005446652391523445 2.279475109844071
(0.0, 0.16, 0.25) 0.06309056649734127 0.00029013673530945577 2.500795719335539
